Mes,Día 1,Día 2,Día 3,Día 4,Día 5,Día 6,Día 7,Día 8,Día 9,Día 10,Día 11,Día 12,Día 13,Día 14,Día 15,Día 16,Día 17,Día 18,Día 19,Día 20,Día 21,Día 22,Día 23,Día 24,Día 25,Día 26,Día 27,Día 28,Día 29,Día 30,Día 31
Mes 1,75,1,35,18,57,43,90,33,37,45,39,43,55,26,73,21,60,5,14,89,34,88,30,22,43,87,20,77,64,35,56
Mes 2,1,14,89,28,79,32,95,11,88,87,31,48,63,26,82,55,58,93,37,2,86,100,94,46,99,60,54,18
Mes 3,15,6,41,14,41,30,8,37,97,12,71,35,33,28,93,99,34,93,50,98,81,60,82,8,88,12,97,51,42,31,13
Mes 4,76,49,99,72,35,18,62,12,95,92,100,55,37,18,39,38,33,48,10,6,29,23,9,65,41,87,78,77,56,67
Mes 5,92,20,30,49,99,76,33,11,43,13,9,20,78,61,75,100,1,10,9,83,28,84,77,22,86,87,52,71,8,41,55
Mes 6,96,63,79,14,82,95,34,74,53,83,33,6,17,38,8,39,70,95,45,90,64,87,70,54,8,85,96,18,46,41
Mes 7,70,54,94,32,55,11,51,38,53,10,98,19,60,12,85,26,14,22,71,35,25,90,39,81,12,24,54,44,41,81,85
Mes 8,72,39,43,20,6,64,40,98,98,22,6,72,38,58,13,63,27,84,64,68,78,74,40,4,10,30,28,88,31,62,71
Mes 9,67,88,37,56,3,2,47,39,63,85,41,46,10,26,86,13,10,66,70,8,4,25,53,41,90,97,27,77,87,67
Mes 10,71,69,17,37,27,22,26,0,89,7,63,44,18,43,72,21,6,46,3,72,95,64,91,95,64,53,1,18,25,24,82
Mes 11,73,34,78,20,48,95,24,82,83,79,17,71,59,69,92,36,14,18,29,78,2,53,61,31,96,94,45,62,62,88
Mes 12,0,56,61,18,80,38,13,22,86,94,29,68,43,50,41,56,60,73,32,32,90,70,63,79,96,4,37,25,6,1,82
